SampleName,TotalRU,M:C,BIX,HIX,FI,UltraVioletHumic-like,MarineHumic-like,VisibleHumic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
203,43.81902512,1.296448666,0.732155303,0.554736815,1.702344088,0.023516075,0.024848581,0.019166652,0.041307133,0.037974858,0.026383092,0.051357099,0.039969916,0.022755296,0.094710798,0.024090048,0.014160637,0.017953849
204,56.73421755,1.298138673,0.925946402,0.902932925,1.72463562,0.021742455,0.026021676,0.020045375,0.058454478,0.065132919,0.016182454,0.027102327,0.059976762,0.023284845,0.011455874,0.037153755,0.016878451,0.031436014
205,48.09572933,1.203268164,0.687160685,0.914133944,1.542916547,0.018826395,0.020155132,0.016750324,0.037150231,0.04190125,0,0.025691159,0.036519605,0.019457942,0.031017233,0.02900368,0.012070478,0.023410033
206,29.94968807,1.441383992,0.738820216,0.609787421,1.486593377,0.011871969,0.014157316,0.00982203,0.032003792,0.033914798,0.016116491,0.021917442,0.033084146,0.012671407,0.016126624,0.017595898,0.006169757,0.018383837
207,25.04166277,1.765145551,0.735257047,0.448474547,1.71358804,0.008612645,0.011109899,0.006294041,0.022708321,0.03527513,0,0.038182097,0.025924977,0.009207547,0.018033903,0.011233233,0.004254221,0.01784956
208,49.0057922,1.461555187,0.732537173,0.644898966,1.516684325,0.019320964,0.023147464,0.015837557,0.046067553,0.064403022,0,0.046732539,0.04558131,0.022139349,0.04769441,0.02726553,0.009686989,0.023152822
209,32.30121534,1.793088101,0.58881709,0.417791008,1.634632014,0.010113519,0.012730741,0.007099897,0.024774768,0.04822716,0,0.023538015,0.032456988,0.01111893,0.029408973,0.013624513,0.003505386,0
210,32.20882706,1.094150412,0.807761724,0.729704929,1.588055508,0.011375734,0.014508476,0.013260038,0.030090815,0.039749263,0,0.016237887,0.03108825,0.013688851,0.010535388,0.019302428,0.005978181,0.015055822
1061,9.410329651,2.330011185,0.897082175,0.187839066,1.875776655,0.00377926,0.00615143,0.002640086,0.019167967,0.028419773,0.043302995,0.024559313,0.018659191,0.005488297,0.039191363,0.005450097,7.10205E-06,0
1062,49.41180257,1.126774694,0.652114113,1.602389249,1.604116186,0.023305344,0.025067418,0.022247055,0.021148146,0.031433289,0.033211702,0.004140344,0.024813539,0.024038826,0.029118595,0.044699222,0.017896949,0
1063,51.11615825,1.112789292,0.694667849,1.933005687,1.515198004,0.02647344,0.027344058,0.024572539,0.022142078,0.027702048,0.027346049,0.020913734,0.022847917,0.027154665,0.028319291,0.052861336,0.019144299,0.008715911
cooks-1,28.42727669,1.383778264,0.79098015,0.70050779,1.618262092,0.012453953,0.015384575,0.011117804,0.034723854,0.043396895,0.019399102,0.012175986,0.038292467,0.014719287,0.017729552,0.018944525,0.00685261,0.012630656
lter3b,18.98063094,1.614024803,0.821807505,0.408322202,1.617416538,0.007029037,0.009147658,0.005667607,0.025580531,0.033701449,0.015639702,0.009526092,0.02896958,0.008889037,0.025483123,0.010695052,0.002972784,0
lter3f,26.87412886,1.763910436,0.782717644,0.564967886,1.510499177,0.010111751,0.013397554,0.007595371,0.027312568,0.038786192,0.01525299,0.009078371,0.031416018,0.012328018,0.01879616,0.014318506,0.004274052,0.005095902
lter6f,32.76170702,1.311247566,0.726831689,0.712995509,1.624256311,0.014161441,0.017036486,0.012992578,0.030102686,0.051219066,0.024221524,0.022216293,0.037128504,0.016172664,0.025735623,0.024033472,0.008488801,0.006327501
OPU-1,40.63594317,1.332731426,0.820582957,0.437710488,1.605541569,0.015747465,0.018314923,0.013742396,0.062831714,0.068412879,0.011994685,0.032495294,0.071494223,0.017478821,0.041386725,0.020524685,0.008749816,0.018795806
OPU-2,54.44195443,1.193208555,0.784990258,1.145937928,1.569215224,0.020041902,0.023978992,0.020096229,0.03243479,0.052554168,0.013578195,0.012640051,0.034459488,0.021922706,0.024655442,0.037261722,0.017637335,0.0136877
