"","Abundance","Site_number","Family"
"362",0.0689655172413793,"65","Moraxellaceae"
"363",0.0689655172413793,"83","Vibrionaceae"
"364",0.0688259109311741,"64","Moraxellaceae"
"365",0.0681818181818182,"122","Rhodobacteraceae"
"366",0.0673758865248227,"180","Moraxellaceae"
"367",0.0666666666666667,"41","Rhodobacteraceae"
"368",0.0657894736842105,"166","Flavobacteriaceae"
"369",0.0655737704918033,"147","Moraxellaceae"
"370",0.0655737704918033,"105","Flavobacteriaceae"
"371",0.0651340996168582,"163","Flavobacteriaceae"
"372",0.0651340996168582,"178","Vibrionaceae"
"373",0.0649350649350649,"149","Flavobacteriaceae"
"374",0.0647773279352227,"Cook's 1","Flavobacteriaceae"
"375",0.0647482014388489,"137","Flavobacteriaceae"
"376",0.0647482014388489,"137","Rhodobacteraceae"
"377",0.0646551724137931,"65","Flavobacteriaceae"
"378",0.0645161290322581,"144","Rhodobacteraceae"
"379",0.0645161290322581,"84","Flavobacteriaceae"
"380",0.0634920634920635,"51","Rhodobacteraceae"
"381",0.062992125984252,"91","Rhodobacteraceae"
"382",0.062992125984252,"91","Flavobacteriaceae"
"383",0.0625,"208","Rhodobacteraceae"
"384",0.0625,"208","Flavobacteriaceae"
"385",0.0625,"43","Flavobacteriaceae"
"386",0.0619469026548673,"56","Rhodobacteraceae"
"387",0.0615384615384615,"160","Rhodobacteraceae"
"388",0.0615384615384615,"160","Moraxellaceae"
"389",0.0607287449392713,"64","Flavobacteriaceae"
"390",0.0606060606060606,"169","Rhodobacteraceae"
"391",0.0606060606060606,"41","Flavobacteriaceae"
"392",0.0603448275862069,"65","Rhodobacteraceae"
"393",0.0602836879432624,"180","Moraxellaceae"
"394",0.0602836879432624,"180","Rhodobacteraceae"
"395",0.0602836879432624,"180","Flavobacteriaceae"
"396",0.0602409638554217,"50","Flavobacteriaceae"
"397",0.0602409638554217,"50","Flavobacteriaceae"
"398",0.0602409638554217,"50","Flavobacteriaceae"
"399",0.0601092896174863,"147","Flavobacteriaceae"
"400",0.0601092896174863,"147","Rhodobacteraceae"
"401",0.0592334494773519,"179","Flavobacteriaceae"
"402",0.0592334494773519,"179","Flavobacteriaceae"
"403",0.0591397849462366,"117","Moraxellaceae"
"404",0.0591397849462366,"117","Moraxellaceae"
"405",0.0588235294117647,"209","Rhodobacteraceae"
"406",0.0588235294117647,"40","Rhodobacteraceae"
"407",0.0585585585585586,"52","Flavobacteriaceae"
"408",0.0581717451523546,"162","Moraxellaceae"
"409",0.0579150579150579,"157","Vibrionaceae"
"410",0.0578947368421053,"205","Rhodobacteraceae"
"411",0.0575539568345324,"137","Rhodobacteraceae"
"412",0.0575539568345324,"42","Moraxellaceae"
"413",0.0575539568345324,"38","Moraxellaceae"
"414",0.0574712643678161,"163","Moraxellaceae"
"415",0.0574412532637076,"210","Flavobacteriaceae"
"416",0.0568720379146919,"130","Rhodobacteraceae"
"417",0.0568720379146919,"130","Flavobacteriaceae"
"418",0.0568720379146919,"145","Flavobacteriaceae"
"419",0.0568181818181818,"122","Flavobacteriaceae"
"420",0.0568181818181818,"122","Rhodobacteraceae"
"421",0.0568181818181818,"122","Rhodobacteraceae"
"422",0.0567010309278351,"121","Flavobacteriaceae"
"423",0.0566801619433198,"64","Flavobacteriaceae"
"424",0.0566801619433198,"Cook's 1","Rhodobacteraceae"
"425",0.0566037735849057,"153","Rhodobacteraceae"
"426",0.0566037735849057,"OPU 1","Flavobacteriaceae"
"427",0.0566037735849057,"153","Flavobacteriaceae"
"428",0.0564516129032258,"84","Flavobacteriaceae"
"429",0.0562770562770563,"169","Moraxellaceae"
"430",0.05625,"128","Flavobacteriaceae"
"431",0.0560747663551402,"69","Flavobacteriaceae"
"432",0.0560344827586207,"65","Vibrionaceae"
"433",0.056,"188","Flavobacteriaceae"
"434",0.0550847457627119,"81","Rhodobacteraceae"
"435",0.0536912751677852,"151","Moraxellaceae"
"436",0.0530973451327434,"56","Moraxellaceae"
"437",0.0530973451327434,"56","Flavobacteriaceae"
"438",0.0530973451327434,"56","Flavobacteriaceae"
"439",0.0526315789473684,"205","Moraxellaceae"
"440",0.0526315789473684,"205","Rhodobacteraceae"
"441",0.0523255813953488,"62","Moraxellaceae"
"442",0.0523255813953488,"62","Flavobacteriaceae"
"443",0.0522388059701493,"154","Flavobacteriaceae"
"444",0.0520833333333333,"208","Sphingomonadaceae"
"445",0.052,"131","Moraxellaceae"
"446",0.0517241379310345,"79","Moraxellaceae"
"447",0.0515463917525773,"201","Rhodobacteraceae"
"448",0.0515463917525773,"201","Flavobacteriaceae"
"449",0.0514705882352941,"209","Rhodobacteraceae"
"450",0.0512820512820513,"168","Moraxellaceae"
"451",0.0512820512820513,"170","Flavobacteriaceae"
"452",0.0512820512820513,"85","Rhodobacteraceae"
