"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"d4869bfab80379b3d077c5f74b56db9b","Bacteria",NA,NA,NA,NA,NA,NA
"8c9afbe30c22640b81e5675c4ce7afc9","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"66dea2cd7b2d5dd40a5066a071446f68","Bacteria",NA,NA,NA,NA,NA,NA
"0a91c3a291c39602d7d53e5d8069c1b8","Bacteria",NA,NA,NA,NA,NA,NA
"78d0203735ac4600a9849ba837a7be3d","Bacteria",NA,NA,NA,NA,NA,NA
"b85c1a6ecf4a9e9d2283e3f4c01141f0","Bacteria",NA,NA,NA,NA,NA,NA
"e93da48cb35a191c5a326c6fe745e407","Bacteria",NA,NA,NA,NA,NA,NA
"52c346b1627a0dbf46f2f7d589db2438","Bacteria",NA,NA,NA,NA,NA,NA
"7cc1caeac4b3ad9232a66b244aa546fd","Bacteria",NA,NA,NA,NA,NA,NA
"b02af47e6c8c560e410c6858a88b3116","Bacteria",NA,NA,NA,NA,NA,NA
"8dc95e155f364b02b907168c76731be9","Bacteria",NA,NA,NA,NA,NA,NA
"cd48b7f030c2bf4a2b3ff62ee6636933","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"bab13bec92ca9f222408eac7a9095aba","Bacteria",NA,NA,NA,NA,NA,NA
"367eba7a66dc9593605d13cbcf780af4","Bacteria",NA,NA,NA,NA,NA,NA
"6e5cd483d75768f09771fe669efbef74","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"775974c7bcbb690a803778e723fce183","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"12e7337d3afe2bc703cdb17bb8558d12","Bacteria",NA,NA,NA,NA,NA,NA
"339aeba806391d3ff5bb2fd3c3a897fa","Bacteria",NA,NA,NA,NA,NA,NA
"a41998f4af3690d341196980755ff876","Bacteria",NA,NA,NA,NA,NA,NA
"7b585e7b6434dad39e2e853bcf67b04c","Bacteria",NA,NA,NA,NA,NA,NA
"d89c173073b3c718f4fef4433f327c97","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"d3de8773de91842275762c0828014335","Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae",NA,NA
"1fe12d6cb96816a30ab9142dfb4107ec","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f430cc63325452e5d33e7ddc69618576","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"5666544645e2b1745db023343a4e6e3a","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"d4029b08815259003d07d3014349d0f0","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"49aa9192af44fa07f5b1a98960a30580","Bacteria",NA,NA,NA,NA,NA,NA
"9c9d99bfd5c1ee505f75f50c8114db42","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"508b8eb5eb9988195894dac447441490","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"4dce08b7831e4831792b5d8282691000","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"bbbb1964256413bb6d8abffc9fd4c8ca","Bacteria",NA,NA,NA,NA,NA,NA
"afc3d3f7d617205d2e1b7a81d1520dcb","Bacteria",NA,NA,NA,NA,NA,NA
"e3b63bc3aecb19ce8272cae7be8cd599","Bacteria",NA,NA,NA,NA,NA,NA
"e33a229a15327cb21459d85a0877fdba","Bacteria",NA,NA,NA,NA,NA,NA
"4b464914ae7492d7c3c92da8d993aea4","Bacteria",NA,NA,NA,NA,NA,NA
"fa82a1beee1b23f2627a4cf67ec29224","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"eefe7558f4903fd5084a44697ecc3763","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"c56e14fd2557bcb866d602d26ab99691","Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae",NA,NA
"05d8d7b288744ee15ad3aac7cad66be2","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"d1b70555095684b02bd644f73e86e822","Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae",NA,NA
"c14db1c66abf89eb3e65806f9b87614c","Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae",NA,NA
"39c49bdc70a25e2ec57c93e3d307bbe6","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"8348a040f0f016dae85213032ea0607f","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"907c4569abb1082470b30f28825979de","Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae",NA,NA
"a864e739bf97e930ae461f8627fb1738","Bacteria",NA,NA,NA,NA,NA,NA
"50d31ff1fcc6dd22bccffbe180d09663","Bacteria",NA,NA,NA,NA,NA,NA
