Feature ID	Taxon	Confidence
71b53a92c37da23a30fe82695e80fa71	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio	0.9700449283203995
397a290f1be2f67a7d5e5b9c43e7d91f	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;D_4__uncultured gamma proteobacterium HF0070_25G02;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.905691327832126
c607c72ce20dcf78e70010a1ea0560d3	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;D_4__Rhodobacteraceae bacterium REDSEA-S29_B10;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9834894128498557
151d1fb59e493dd185ab56aa18ca1a72	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina	0.9999999935628082
ebab61ef907c097cad15dcc0c7d9e2c3	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group;D_5__unidentified marine bacterioplankton;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.963528564085301
908e165732f0b87a326a8b549fc9e6a9	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Ectothiorhodospirales;D_4__Ectothiorhodospiraceae;D_5__uncultured;D_6__metagenome;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9084007773407035
229ba05ff2d88a33fe00780776d0d268	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II;D_4__uncultured crenarchaeote;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.8698895472774597
d2c613b53efcd290a1e703d07e94b3f8	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade	0.9999963616572135
9788edf63b15e7b5721f1465af6c97ac	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II	0.9999998706980139
7ee0ad1f06ab574fa0e69821e4bcee2f	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__OM60(NOR5) clade	0.9737081280786785
099836b4f722ae8361d1c2735d8b56ab	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.9734862208260904
c209a8fbf246d99e244fe25afca9f9e3	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group;D_5__unidentified marine bacterioplankton;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.7726978505534783
8cc3355668b40e1b4e043c880c2794e2	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter	0.9996886060839868
98f9600e4445222889873a158e3ab282	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib	0.8094379646499975
1c8d11fa21f4540d3302fe0c655fbbc2	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade	0.9999994007597359
a8a9776c1786b3bc7ecf09dac4b505c3	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	0.9996849578469141
2f21b911529afeb8d8906a67976433ce	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Nitrincolaceae;D_5__Marinobacterium;D_6__bacterium WHC3-3;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9417143476105029
49d4cb80ad3e37961ba814ef2b1bfbd1	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade	0.9999987207777736
3f3add68bca4d3a34cfdcdbe57e4940a	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade	0.9999999833481148
