Site_number,Time,Habitat,Lat,Lon,Coral_sampler,Date,Time,CCAR,CSPI,JUVPAR,SALT,SFRE,SOVI,SPSI,CSPI_JUV,CSPI_SUB,CSPI_ADULT,SPSI_JUV,SPSI_SUB,SPSI_ADULT,PARROT_JUV,PARROT_SUB,PARROT_ADULT,PREDATOR,FISH_TOT
183,10,LAG,-17.48035,-149.81365,TCA,44341,0.520833333,0,1.9,0,0,0,0,1,0,0.4,1.5,0.1,0.2,0.7,0.1,0.6,0.1,0.1,3.6
184,10,BA,-17.47487,-149.8077,TCA,44341,0.590277778,0,2.9,0,0,0,0,1.1,1.7,0.2,1,0,0.8,0.3,1.7,1,1.7,0,4
185,10,LAG,-17.47691,-149.80663,TCA,44341,0.5,0,3.1,0,0,0,0,0.7,3.1,0,0,0.6,0,0.1,3.7,0,3.7,0.1,4.2
186,10,LAG,-17.47712,-149.8025,TCA,44341,0.455555556,0,2.5,0.5,0,0,0,0.6,0.7,0.8,1,0.1,0.1,0.4,0.8,0.9,0.8,0,3.8
187,9,FR,-17.47899,-149.80634,TCA,44341,0.486111111,0,2.222222222,0,0,0,0,0.666666667,0,0.222222222,2,0,0,0.666666667,0,0.222222222,0,0.111111111,3.555555556
201,8,LAG,-17.58183,-149.78965,TCA,44338,0.645833333,0,2.25,0,0,0,0,0.375,1,0.875,0.375,0,0,0.375,1,0.875,1,0.125,3
204,6,FR,-17.50963,-149.76818,TCA,44337,0.5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,1
205,10,FR,-17.55094,-149.78795,TCA,44338,0.68125,0,0.7,0,0,0,0,0.5,0.4,0.3,0,0.3,0.2,0,0.7,0.5,0.7,0,1.9
206,8,FR,-17.56594,-149.79259,TCA,44338,0.46875,0,0.375,0.5,0,0,0,0.75,0.125,0.125,0.125,0.125,0.125,0.5,0.25,0.25,0.25,0,2.125
207,10,FR,-17.57248,-149.79544,TCA,44338,0.55625,0,0.8,0.1,0,0,0.1,0.3,0.3,0.5,0,0.2,0,0.1,0.5,0.5,0.5,0,1.9
Cook's 1,10,FR,-17.49718,-149.81805,TCA,44341,0.694444444,0,0.4,0,0,0,0,1.1,0.4,0,0,0.9,0.2,0,1.3,0.2,1.3,0.2,2.4
LTER 3 Back Reef,10,BA,-17.5138,-149.76415,TCA,44337,0.586805556,0,1.3,0,0,0,0,1.8,0,0.1,1.2,0,0.1,1.7,0,0.2,0,0,3.5
LTER 3 Fringe Reef,10,FR,-17.51305,-149.76688,TCA,44337,0.5625,0.1,1.7,0,0,0,0.6,0.1,0.9,0.3,0.5,0.1,0,0,1,0.3,1,0.2,3.2
